"﻿I01";"NOMPROV";"I02";"NOMCANT";"I03";"I03Cl";"I03C";"codParr";"NOMPARR";"I04";"I05";"numv";"numh";"nump";"TOTPER";"H00";"P00";"PCD";"P01";"P03";"GEDAD";"GRANEDAD";"P04M";"P04A";"P05";"P06_A";"P07";"P08";"Discapacidad";"P11LO";"P11L";"P11P";"P11C";"P11PQ";"P12LO";"P12L";"P12P";"P12C";"P12PQ";"P13LO";"P13L";"P13P";"P13C";"P13PQ";"P142P";"P142M";"P152";"P16";"P19";"P20T";"P20I";"P20C";"P21";"P23";"P24";"GRAESC";"GRAESCSA";"P25";"P27";"P28";"TIPOACT";"P29";"RAMACT";"P30";"GRUOCU";"P31";"CATOCUP";"P32";"P33";"P34";"P35";"P36";"P36H";"P36M";"P37";"P38";"P39A";"P39M";"P40";"P02"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;1;1;1;6;1;1;1;1;45;11;2;9;1965;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;;;2;6;1;1;9;9;2;4;3;4;3;;3;;3;4100;6;9312;9;3;3;9;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;1;1;2;6;1;2;1;2;40;10;2;6;1970;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;3;4;3;;7;5;11;;;;;;;;;1;7;5;1;4;5;16;2003;2;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;1;1;3;6;1;3;1;2;17;5;2;11;1993;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;1;2;5;2;9;8;;3;;3;1410;3;7533;7;2;2;9;2;1;7;0;0;0;;;;;;"3"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;1;1;4;6;1;4;1;1;23;6;2;3;1987;1;1;2;2;2;2;2;10;1003;100350;1;1;10;1002;100250;2;2;17;1701;170155;2;2;2;6;1;1;2;2;2;9;4;17;16;3;7;1;7;;23;;12;;10;;;1;7;;;;;;;;;"4"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;3;1;1;6;1;1;1;1;22;6;2;5;1988;1;1;2;2;2;2;2;17;1701;170169;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;9;1;2;4;4;5;4;;3;;3;4100;6;7112;7;2;2;8;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;3;1;2;6;1;2;1;2;26;7;2;3;1984;1;1;2;2;2;2;2;10;1003;100356;1;1;10;1002;100250;2;2;10;1003;100356;2;2;2;6;1;1;9;9;2;4;5;6;5;;7;5;11;;;;;;;;;1;7;4;3;1;4;17;2005;5;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;10;1;1;4;1;1;1;1;39;9;2;4;1971;1;1;2;2;2;2;2;10;1006;100655;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;5;;5;4721;7;5211;5;6;6;12;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;10;1;2;4;1;2;1;2;33;8;2;7;1977;1;1;2;2;2;2;2;10;1001;100150;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;5;6;5;;7;5;11;;;;;;;;;1;7;2;1;1;2;21;2007;11;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;13;1;1;4;1;1;1;1;33;8;2;10;1977;1;1;2;2;2;2;2;10;1001;100150;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;5;1;8;7;;1;;1;4922;8;8322;8;2;2;40;2;1;3;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;13;1;2;4;1;2;1;2;33;8;2;5;1977;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;7;5;11;;;;;;;;;1;7;2;1;1;2;19;2007;10;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;14;1;1;6;1;1;1;1;57;13;2;12;1952;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;3;4;3;;1;;1;111;1;9211;9;3;3;45;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;14;1;2;6;1;2;1;2;56;13;2;1;1954;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;1;4;4;4;3;;1;;1;9999;22;9999;11;9;9;999;9;1;7;8;5;3;8;18;1992;8;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;16;1;1;7;1;1;1;1;44;10;2;9;1966;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;146;1;9622;9;2;2;48;2;1;3;;;;;;;;;"1"
